"DATE,""TIME PERIOD"",""HICP - Overall index (ICP.M.AT.N.000000.4.ANR)"",""HICP - Energy (ICP.M.AT.N.NRGY00.4.ANR)"",""(LFSI.M.AT.S.UNEHRT.TOTAL0.15_74.T)"""
"1995-01-31,""1995Jan"","""","""",""4.037840"""
"1995-02-28,""1995Feb"","""","""",""3.933135"""
"1995-03-31,""1995Mar"","""","""",""3.922324"""
"1995-04-30,""1995Apr"","""","""",""4.035630"""
"1995-05-31,""1995May"","""","""",""4.146195"""
"1995-06-30,""1995Jun"","""","""",""4.236315"""
"1995-07-31,""1995Jul"","""","""",""4.294401"""
"1995-08-31,""1995Aug"","""","""",""4.360740"""
"1995-09-30,""1995Sep"","""","""",""4.430454"""
"1995-10-31,""1995Oct"","""","""",""4.506565"""
"1995-11-30,""1995Nov"","""","""",""4.571578"""
"1995-12-31,""1995Dec"","""","""",""4.629082"""
"1996-01-31,""1996Jan"",""1.6"","""",""4.702342"""
"1996-02-29,""1996Feb"",""1.7"","""",""4.797136"""
"1996-03-31,""1996Mar"",""1.9"","""",""4.839781"""
"1996-04-30,""1996Apr"",""1.8"","""",""4.809958"""
"1996-05-31,""1996May"",""1.6"","""",""4.783037"""
"1996-06-30,""1996Jun"",""1.7"","""",""4.755358"""
"1996-07-31,""1996Jul"",""1.8"","""",""4.738652"""
"1996-08-31,""1996Aug"",""1.5"","""",""4.716025"""
"1996-09-30,""1996Sep"",""1.4"","""",""4.683266"""
"1996-10-31,""1996Oct"",""1.7"","""",""4.643075"""
"1996-11-30,""1996Nov"",""2.0"","""",""4.618681"""
"1996-12-31,""1996Dec"",""2.3"","""",""4.610383"""
"1997-01-31,""1997Jan"",""1.2"",""7.1"",""4.626563"""
"1997-02-28,""1997Feb"",""1.4"",""7.6"",""4.661064"""
"1997-03-31,""1997Mar"",""1.2"",""6.6"",""4.670718"""
"1997-04-30,""1997Apr"",""1.2"",""6.0"",""4.659468"""
"1997-05-31,""1997May"",""1.3"",""4.7"",""4.671017"""
"1997-06-30,""1997Jun"",""1.0"",""2.2"",""4.707871"""
"1997-07-31,""1997Jul"",""0.9"",""1.5"",""4.764589"""
"1997-08-31,""1997Aug"",""1.3"",""2.6"",""4.805550"""
"1997-09-30,""1997Sep"",""1.2"",""0.9"",""4.833738"""
"1997-10-31,""1997Oct"",""1.1"",""-0.2"",""4.843410"""
"1997-11-30,""1997Nov"",""1.1"",""-0.7"",""4.863029"""
"1997-12-31,""1997Dec"",""1.0"",""-1.0"",""4.890930"""
"1998-01-31,""1998Jan"",""1.2"",""-1.5"",""4.931836"""
"1998-02-28,""1998Feb"",""1.0"",""-2.7"",""4.955420"""
"1998-03-31,""1998Mar"",""1.0"",""-2.8"",""4.940904"""
"1998-04-30,""1998Apr"",""1.2"",""-3.1"",""4.883799"""
"1998-05-31,""1998May"",""1.0"",""-3.1"",""4.829867"""
"1998-06-30,""1998Jun"",""0.8"",""-3.2"",""4.771845"""
"1998-07-31,""1998Jul"",""0.8"",""-2.9"",""4.721285"""
"1998-08-31,""1998Aug"",""0.7"",""-4.4"",""4.665263"""
"1998-09-30,""1998Sep"",""0.6"",""-4.4"",""4.596940"""
"1998-10-31,""1998Oct"",""0.7"",""-4.5"",""4.516425"""
"1998-11-30,""1998Nov"",""0.5"",""-4.9"",""4.423152"""
"1998-12-31,""1998Dec"",""0.5"",""-5.2"",""4.332955"""
"1999-01-31,""1999Jan"",""0.3"",""-4.5"",""4.252454"""
"1999-02-28,""1999Feb"",""0.2"",""-4.4"",""4.222951"""
"1999-03-31,""1999Mar"",""0.2"",""-3.5"",""4.217080"""
"1999-04-30,""1999Apr"",""0.1"",""-2.3"",""4.245357"""
"1999-05-31,""1999May"",""0.4"",""-1.0"",""4.225184"""
"1999-06-30,""1999Jun"",""0.2"",""-0.9"",""4.157233"""
"1999-07-31,""1999Jul"",""0.3"",""0.2"",""4.055472"""
"1999-08-31,""1999Aug"",""0.5"",""3.1"",""3.999087"""
"1999-09-30,""1999Sep"",""0.6"",""3.7"",""3.984231"""
"1999-10-31,""1999Oct"",""0.8"",""5.1"",""4.013678"""
"1999-11-30,""1999Nov"",""1.0"",""5.3"",""4.089037"""
"1999-12-31,""1999Dec"",""1.7"",""8.4"",""4.190216"""
"2000-01-31,""2000Jan"",""1.4"",""8.1"",""4.282376"""
"2000-02-29,""2000Feb"",""1.9"",""9.9"",""4.262103"""
"2000-03-31,""2000Mar"",""1.9"",""11.9"",""4.135780"""
"2000-04-30,""2000Apr"",""1.8"",""9.4"",""3.841552"""
"2000-05-31,""2000May"",""1.6"",""9.4"",""3.666299"""
"2000-06-30,""2000Jun"",""2.4"",""13.4"",""3.633573"""
"2000-07-31,""2000Jul"",""1.9"",""13.5"",""3.756906"""
"2000-08-31,""2000Aug"",""1.9"",""10.3"",""3.834512"""
"2000-09-30,""2000Sep"",""2.3"",""13.7"",""3.867440"""
"2000-10-31,""2000Oct"",""2.2"",""12.9"",""3.849465"""
"2000-11-30,""2000Nov"",""2.3"",""14.6"",""3.796631"""
"2000-12-31,""2000Dec"",""1.8"",""11.8"",""3.729351"""
"2001-01-31,""2001Jan"",""2.3"",""7.4"",""3.642588"""
"2001-02-28,""2001Feb"",""1.8"",""5.2"",""3.643974"""
"2001-03-31,""2001Mar"",""1.9"",""3.7"",""3.721709"""
"2001-04-30,""2001Apr"",""2.6"",""5.6"",""3.908978"""
"2001-05-31,""2001May"",""2.9"",""7.0"",""4.042956"""
