DATE,TIME PERIOD,HICP - Overall index (ICP.M.U2.N.000000.4.ANR),HICP - Energy (ICP.M.U2.N.NRGY00.4.ANR),(LFSI.M.U2.N.UNEHRT.TOTAL0.15_74.T)
1993-01-31,1993Jan,,,9.605470
1993-02-28,1993Feb,,,9.809779
1993-03-31,1993Mar,,,10.029834
1993-04-30,1993Apr,,,10.084396
1993-05-31,1993May,,,10.058017
1993-06-30,1993Jun,,,10.215273
1993-07-31,1993Jul,,,10.271543
1993-08-31,1993Aug,,,10.205809
1993-09-30,1993Sep,,,10.190126
1993-10-31,1993Oct,,,10.597974
1993-11-30,1993Nov,,,10.723191
1993-12-31,1993Dec,,,10.835980
1994-01-31,1994Jan,,,11.041872
1994-02-28,1994Feb,,,11.268239
1994-03-31,1994Mar,,,11.341692
1994-04-30,1994Apr,,,11.190482
1994-05-31,1994May,,,10.969355
1994-06-30,1994Jun,,,10.929513
1994-07-31,1994Jul,,,10.848078
1994-08-31,1994Aug,,,10.649077
1994-09-30,1994Sep,,,10.528358
1994-10-31,1994Oct,,,10.810213
1994-11-30,1994Nov,,,10.846377
1994-12-31,1994Dec,,,10.835088
1995-01-31,1995Jan,,,10.949136
1995-02-28,1995Feb,,,11.136079
1995-03-31,1995Mar,,,11.093072
1995-04-30,1995Apr,,,10.830477
1995-05-31,1995May,,,10.609049
1995-06-30,1995Jun,,,10.683344
1995-07-31,1995Jul,,,10.739103
1995-08-31,1995Aug,,,10.616630
1995-09-30,1995Sep,,,10.523207
1995-10-31,1995Oct,,,10.785020
1995-11-30,1995Nov,,,10.812776
1995-12-31,1995Dec,,,10.792372
1996-01-31,1996Jan,,,10.974243
1996-02-29,1996Feb,,,11.233377
1996-03-31,1996Mar,,,11.287834
1996-04-30,1996Apr,,,11.082813
1996-05-31,1996May,,,10.880712
1996-06-30,1996Jun,,,10.940501
1996-07-31,1996Jul,,,10.886866
1996-08-31,1996Aug,,,10.734908
1996-09-30,1996Sep,,,10.621609
1996-10-31,1996Oct,,,10.860436
1996-11-30,1996Nov,,,10.884611
1996-12-31,1996Dec,,,10.865386
1997-01-31,1997Jan,2.0,5.2,11.058638
1997-02-28,1997Feb,1.8,4.5,11.334251
1997-03-31,1997Mar,1.6,3.7,11.370685
1997-04-30,1997Apr,1.3,2.1,11.160200
1997-05-31,1997May,1.4,2.1,10.885719
1997-06-30,1997Jun,1.4,2.5,10.895922
1997-07-31,1997Jul,1.5,2.8,10.782827
1997-08-31,1997Aug,1.7,4.2,10.596656
1997-09-30,1997Sep,1.6,2.6,10.457802
1997-10-31,1997Oct,1.5,1.5,10.684958
1997-11-30,1997Nov,1.6,1.3,10.662487
1997-12-31,1997Dec,1.5,0.7,10.610748
1998-01-31,1998Jan,1.1,-1.3,10.671288
1998-02-28,1998Feb,1.1,-1.4,10.856279
1998-03-31,1998Mar,1.1,-1.6,10.862066
1998-04-30,1998Apr,1.4,-1.0,10.617916
1998-05-31,1998May,1.3,-1.5,10.341965
1998-06-30,1998Jun,1.3,-1.7,10.327567
1998-07-31,1998Jul,1.3,-1.9,10.216327
1998-08-31,1998Aug,1.1,-3.9,10.026221
1998-09-30,1998Sep,1.0,-3.9,9.833311
1998-10-31,1998Oct,0.9,-4.1,10.029708
1998-11-30,1998Nov,0.8,-4.4,9.980762
1998-12-31,1998Dec,0.8,-4.9,9.917434
1999-01-31,1999Jan,0.8,-4.3,9.941731
1999-02-28,1999Feb,0.7,-4.3,10.082521
1999-03-31,1999Mar,0.9,-2.8,10.025956
1999-04-30,1999Apr,1.1,0.4,9.748009
1999-05-31,1999May,0.9,0.6,9.466265
1999-06-30,1999Jun,0.9,1.4,9.411719
1999-07-31,1999Jul,1.0,3.2,9.331579
1999-08-31,1999Aug,1.1,5.0,9.126642
1999-09-30,1999Sep,1.2,6.4,8.899033
1999-10-31,1999Oct,1.3,6.5,9.038208
