DATE,TIME PERIOD,unemp
1993-03-31,1993Q1,9.815028
1993-06-30,1993Q2,10.119229
1993-09-30,1993Q3,10.222493
1993-12-31,1993Q4,10.719048
1994-03-31,1994Q1,11.217268
1994-06-30,1994Q2,11.029783
1994-09-30,1994Q3,10.675171
1994-12-31,1994Q4,10.830559
1995-03-31,1995Q1,11.059429
1995-06-30,1995Q2,10.707623
1995-09-30,1995Q3,10.626313
1995-12-31,1995Q4,10.796723
1996-03-31,1996Q1,11.165151
1996-06-30,1996Q2,10.968009
1996-09-30,1996Q3,10.747794
1996-12-31,1996Q4,10.870144
1997-03-31,1997Q1,11.254525
1997-06-30,1997Q2,10.980614
1997-09-30,1997Q3,10.612428
1997-12-31,1997Q4,10.652731
1998-03-31,1998Q1,10.796544
1998-06-30,1998Q2,10.429149
1998-09-30,1998Q3,10.025286
1998-12-31,1998Q4,9.975968
1999-03-31,1999Q1,10.016736
1999-06-30,1999Q2,9.541998
1999-09-30,1999Q3,9.119085
1999-12-31,1999Q4,8.978334
2000-03-31,2000Q1,9.097878
2000-06-30,2000Q2,8.512950
2000-09-30,2000Q3,8.168440
2000-12-31,2000Q4,8.018917
2001-03-31,2001Q1,8.197776
2001-06-30,2001Q2,7.846919
2001-09-30,2001Q3,7.724127
2001-12-31,2001Q4,7.943583
2002-03-31,2002Q1,8.394036
2002-06-30,2002Q2,8.214336
2002-09-30,2002Q3,8.215545
2002-12-31,2002Q4,8.484705
2003-03-31,2003Q1,9.257853
2003-06-30,2003Q2,8.858750
2003-09-30,2003Q3,8.644533
2003-12-31,2003Q4,8.985553
2004-03-31,2004Q1,9.534693
2004-06-30,2004Q2,9.041726
2004-09-30,2004Q3,8.910564
2004-12-31,2004Q4,9.314763
2005-03-31,2005Q1,9.658942
2005-06-30,2005Q2,9.058127
2005-09-30,2005Q3,8.755742
2005-12-31,2005Q4,9.073534
2006-03-31,2006Q1,9.245980
2006-06-30,2006Q2,8.396766
2006-09-30,2006Q3,8.044703
2006-12-31,2006Q4,8.249451
2007-03-31,2007Q1,8.203247
2007-06-30,2007Q2,7.467084
2007-09-30,2007Q3,7.288523
2007-12-31,2007Q4,7.485421
2008-03-31,2008Q1,7.705682
2008-06-30,2008Q2,7.478705
2008-09-30,2008Q3,7.356577
2008-12-31,2008Q4,8.092014
2009-03-31,2009Q1,9.439670
2009-06-30,2009Q2,9.414725
2009-09-30,2009Q3,9.459066
2009-12-31,2009Q4,9.946034
2010-03-31,2010Q1,10.560628
2010-06-30,2010Q2,10.028809
2010-09-30,2010Q3,9.700326
2010-12-31,2010Q4,10.085998
2011-03-31,2011Q1,10.420879
2011-06-30,2011Q2,9.790148
2011-09-30,2011Q3,9.854381
2011-12-31,2011Q4,10.626910
2012-03-31,2012Q1,11.430765
2012-06-30,2012Q2,11.187291
2012-09-30,2012Q3,11.153423
2012-12-31,2012Q4,11.895283
2013-03-31,2013Q1,12.677835
2013-06-30,2013Q2,12.032961
2013-09-30,2013Q3,11.692115
2013-12-31,2013Q4,12.013475
2014-03-31,2014Q1,12.422424
2014-06-30,2014Q2,11.518900
2014-09-30,2014Q3,11.189534
2014-12-31,2014Q4,11.605785
2015-03-31,2015Q1,11.710339
2015-06-30,2015Q2,10.971993
2015-09-30,2015Q3,10.331448
2015-12-31,2015Q4,10.649887
2016-03-31,2016Q1,10.762671
2016-06-30,2016Q2,10.088886
2016-09-30,2016Q3,9.638613
2016-12-31,2016Q4,9.835677
2017-03-31,2017Q1,9.921122
2017-06-30,2017Q2,9.062374
2017-09-30,2017Q3,8.731160
2017-12-31,2017Q4,8.772578
2018-03-31,2018Q1,8.967647
2018-06-30,2018Q2,8.228909
2018-09-30,2018Q3,7.786715
2018-12-31,2018Q4,7.970673
2019-03-31,2019Q1,8.160943
2019-06-30,2019Q2,7.490834
2019-09-30,2019Q3,7.357218
2019-12-31,2019Q4,7.459543
2020-03-31,2020Q1,7.633774
2020-06-30,2020Q2,7.497060
2020-09-30,2020Q3,8.555777
2020-12-31,2020Q4,8.188037
2021-03-31,2021Q1,8.558815
2021-06-30,2021Q2,7.942993
2021-09-30,2021Q3,7.468503
2021-12-31,2021Q4,7.153702
2022-03-31,2022Q1,7.131287
2022-06-30,2022Q2,6.650794
2022-09-30,2022Q3,6.680512
2022-12-31,2022Q4,6.695758
2023-03-31,2023Q1,6.901712
2023-06-30,2023Q2,6.368287
2023-09-30,2023Q3,6.512408
2023-12-31,2023Q4,6.538109
2024-03-31,2024Q1,6.823571
2024-06-30,2024Q2,6.293565
2024-09-30,2024Q3,6.251393
2024-12-31,2024Q4,6.137399
2025-03-31,2025Q1,6.627846
2025-06-30,2025Q2,6.269309
2025-08-31,2025Q3,6.209423
