"DATE,""TIME PERIOD"",""HICP - Overall index (ICP.M.DE.N.000000.4.ANR)"",""HICP - Energy (ICP.M.DE.N.NRGY00.4.ANR)"",""(LFSI.M.DE.S.UNEHRT.TOTAL0.15_74.T)"""
"1991-01-31,""1991Jan"","""","""",""5.227444"""
"1991-02-28,""1991Feb"","""","""",""5.237838"""
"1991-03-31,""1991Mar"","""","""",""5.257498"""
"1991-04-30,""1991Apr"","""","""",""5.288734"""
"1991-05-31,""1991May"","""","""",""5.345721"""
"1991-06-30,""1991Jun"","""","""",""5.432728"""
"1991-07-31,""1991Jul"","""","""",""5.535147"""
"1991-08-31,""1991Aug"","""","""",""5.640756"""
"1991-09-30,""1991Sep"","""","""",""5.739520"""
"1991-10-31,""1991Oct"","""","""",""5.826743"""
"1991-11-30,""1991Nov"","""","""",""5.899503"""
"1991-12-31,""1991Dec"","""","""",""5.960993"""
"1992-01-31,""1992Jan"","""","""",""6.019721"""
"1992-02-29,""1992Feb"","""","""",""6.086864"""
"1992-03-31,""1992Mar"","""","""",""6.171593"""
"1992-04-30,""1992Apr"","""","""",""6.276541"""
"1992-05-31,""1992May"","""","""",""6.393789"""
"1992-06-30,""1992Jun"","""","""",""6.515033"""
"1992-07-31,""1992Jul"","""","""",""6.635093"""
"1992-08-31,""1992Aug"","""","""",""6.752445"""
"1992-09-30,""1992Sep"","""","""",""6.864642"""
"1992-10-31,""1992Oct"","""","""",""6.971084"""
"1992-11-30,""1992Nov"","""","""",""7.071634"""
"1992-12-31,""1992Dec"","""","""",""7.166499"""
"1993-01-31,""1993Jan"","""","""",""7.259238"""
"1993-02-28,""1993Feb"","""","""",""7.354191"""
"1993-03-31,""1993Mar"","""","""",""7.451173"""
"1993-04-30,""1993Apr"","""","""",""7.548200"""
"1993-05-31,""1993May"","""","""",""7.645300"""
"1993-06-30,""1993Jun"","""","""",""7.741592"""
"1993-07-31,""1993Jul"","""","""",""7.835521"""
"1993-08-31,""1993Aug"","""","""",""7.926413"""
"1993-09-30,""1993Sep"","""","""",""8.015484"""
"1993-10-31,""1993Oct"","""","""",""8.102624"""
"1993-11-30,""1993Nov"","""","""",""8.191405"""
"1993-12-31,""1993Dec"","""","""",""8.284726"""
"1994-01-31,""1994Jan"","""","""",""8.379467"""
"1994-02-28,""1994Feb"","""","""",""8.464282"""
"1994-03-31,""1994Mar"","""","""",""8.525625"""
"1994-04-30,""1994Apr"","""","""",""8.553946"""
"1994-05-31,""1994May"","""","""",""8.538042"""
"1994-06-30,""1994Jun"","""","""",""8.511282"""
"1994-07-31,""1994Jul"","""","""",""8.473954"""
"1994-08-31,""1994Aug"","""","""",""8.433273"""
"1994-09-30,""1994Sep"","""","""",""8.392201"""
"1994-10-31,""1994Oct"","""","""",""8.349149"""
"1994-11-30,""1994Nov"","""","""",""8.300980"""
"1994-12-31,""1994Dec"","""","""",""8.246291"""
"1995-01-31,""1995Jan"","""","""",""8.188402"""
"1995-02-28,""1995Feb"","""","""",""8.136393"""
"1995-03-31,""1995Mar"","""","""",""8.072929"""
"1995-04-30,""1995Apr"","""","""",""8.067482"""
"1995-05-31,""1995May"","""","""",""8.090532"""
"1995-06-30,""1995Jun"","""","""",""8.136349"""
"1995-07-31,""1995Jul"","""","""",""8.196355"""
"1995-08-31,""1995Aug"","""","""",""8.261934"""
"1995-09-30,""1995Sep"","""","""",""8.325881"""
"1995-10-31,""1995Oct"","""","""",""8.383974"""
"1995-11-30,""1995Nov"","""","""",""8.435076"""
"1995-12-31,""1995Dec"","""","""",""8.481736"""
"1996-01-31,""1996Jan"",""0.5"","""",""8.527429"""
"1996-02-29,""1996Feb"",""0.7"","""",""8.574675"""
"1996-03-31,""1996Mar"",""0.8"","""",""8.626362"""
"1996-04-30,""1996Apr"",""0.5"","""",""8.685877"""
"1996-05-31,""1996May"",""0.7"","""",""8.755187"""
"1996-06-30,""1996Jun"",""0.5"","""",""8.834337"""
"1996-07-31,""1996Jul"",""0.7"","""",""8.920309"""
"1996-08-31,""1996Aug"",""0.5"","""",""9.008735"""
"1996-09-30,""1996Sep"",""0.7"","""",""9.096915"""
"1996-10-31,""1996Oct"",""0.8"","""",""9.186276"""
"1996-11-30,""1996Nov"",""0.7"","""",""9.278500"""
"1996-12-31,""1996Dec"",""0.7"","""",""9.372428"""
"1997-01-31,""1997Jan"",""1.9"",""5.4"",""9.463958"""
"1997-02-28,""1997Feb"",""1.6"",""4.3"",""9.545693"""
"1997-03-31,""1997Mar"",""1.3"",""3.5"",""9.609023"""
"1997-04-30,""1997Apr"",""1.2"",""2.1"",""9.650182"""
"1997-05-31,""1997May"",""1.5"",""2.3"",""9.672289"""
"1997-06-30,""1997Jun"",""1.5"",""3.0"",""9.680599"""
"1997-07-31,""1997Jul"",""1.6"",""3.0"",""9.679742"""
"1997-08-31,""1997Aug"",""1.7"",""4.5"",""9.672816"""
"1997-09-30,""1997Sep"",""1.4"",""2.3"",""9.663598"""
"1997-10-31,""1997Oct"",""1.5"",""1.5"",""9.656240"""
"1997-11-30,""1997Nov"",""1.6"",""1.0"",""9.655905"""
"1997-12-31,""1997Dec"",""1.4"",""0.4"",""9.661189"""
"1998-01-31,""1998Jan"",""0.7"",""-2.4"",""9.664184"""
"1998-02-28,""1998Feb"",""0.5"",""-2.5"",""9.654794"""
"1998-03-31,""1998Mar"",""0.5"",""-2.5"",""9.626993"""
"1998-04-30,""1998Apr"",""0.9"",""-1.5"",""9.580791"""
"1998-05-31,""1998May"",""0.9"",""-1.9"",""9.520057"""
"1998-06-30,""1998Jun"",""0.8"",""-2.1"",""9.449229"""
"1998-07-31,""1998Jul"",""0.8"",""-1.9"",""9.372272"""
"1998-08-31,""1998Aug"",""0.6"",""-4.3"",""9.292395"""
"1998-09-30,""1998Sep"",""0.5"",""-4.3"",""9.213578"""
"1998-10-31,""1998Oct"",""0.4"",""-4.9"",""9.137502"""
"1998-11-30,""1998Nov"",""0.4"",""-4.7"",""9.064119"""
"1998-12-31,""1998Dec"",""0.1"",""-5.5"",""8.992535"""
"1999-01-31,""1999Jan"",""0.3"",""-3.9"",""8.919803"""
"1999-02-28,""1999Feb"",""0.1"",""-4.1"",""8.845882"""
"1999-03-31,""1999Mar"",""0.5"",""-2.3"",""8.772107"""
"1999-04-30,""1999Apr"",""0.8"",""3.1"",""8.701008"""
"1999-05-31,""1999May"",""0.4"",""2.3"",""8.634790"""
