DATE,TIME PERIOD,imp
2005-03-31,2005Q1
2005-06-30,2005Q2
2005-09-30,2005Q3
2005-12-31,2005Q4
2006-03-31,2006Q1,0.90
2006-06-30,2006Q2,1.57
2006-09-30,2006Q3,2.13
2006-12-31,2006Q4,2.35
2007-03-31,2007Q1,1.89
2007-06-30,2007Q2,1.77
2007-09-30,2007Q3,0.99
2007-12-31,2007Q4,-0.22
2008-03-31,2008Q1,0.00
2008-06-30,2008Q2,-0.11
2008-09-30,2008Q3,0.98
2008-12-31,2008Q4,0.88
2009-03-31,2009Q1,-1.53
2009-06-30,2009Q2,-3.37
2009-09-30,2009Q3,-4.31
2009-12-31,2009Q4,-3.69
2010-03-31,2010Q1,-0.22
2010-06-30,2010Q2,3.72
2010-09-30,2010Q3,4.62
2010-12-31,2010Q4,4.84
2011-03-31,2011Q1,5.11
2011-06-30,2011Q2,3.04
2011-09-30,2011Q3,2.37
2011-12-31,2011Q4,2.04
2012-03-31,2012Q1,1.16
2012-06-30,2012Q2,1.16
2012-09-30,2012Q3,0.95
2012-12-31,2012Q4,0.63
2013-03-31,2013Q1,-0.52
2013-06-30,2013Q2,-1.15
2013-09-30,2013Q3,-1.67
2013-12-31,2013Q4,-1.88
2014-03-31,2014Q1,-1.79
2014-06-30,2014Q2,-1.69
2014-09-30,2014Q3,-0.85
2014-12-31,2014Q4,0.00
2015-03-31,2015Q1,0.96
2015-06-30,2015Q2,1.82
2015-09-30,2015Q3,0.96
2015-12-31,2015Q4,0.00
2016-03-31,2016Q1,-1.59
2016-06-30,2016Q2,-2.63
2016-09-30,2016Q3,-1.69
2016-12-31,2016Q4,-0.21
2017-03-31,2017Q1,1.83
2017-06-30,2017Q2,2.49
2017-09-30,2017Q3,1.40
2017-12-31,2017Q4,0.85
2018-03-31,2018Q1,-0.11
2018-06-30,2018Q2,0.21
2018-09-30,2018Q3,1.27
2018-12-31,2018Q4,1.06
2019-03-31,2019Q1,0.85
2019-06-30,2019Q2,0.42
2019-09-30,2019Q3,-0.21
2019-12-31,2019Q4,-0.42
2020-03-31,2020Q1,-0.42
2020-06-30,2020Q2,-1.26
2020-09-30,2020Q3,-1.37
2020-12-31,2020Q4,-0.95
2021-03-31,2021Q1,1.48
2021-06-30,2021Q2,4.99
2021-09-30,2021Q3,7.88
2021-12-31,2021Q4,9.99
2022-03-31,2022Q1,11.73
2022-06-30,2022Q2,13.35
2022-09-30,2022Q3,12.04
2022-12-31,2022Q4,9.57
2023-03-31,2023Q1,5.48
2023-06-30,2023Q2,0.27
2023-09-30,2023Q3,-2.11
2023-12-31,2023Q4,-2.20
2024-03-31,2024Q1,-2.47
2024-06-30,2024Q2,-0.80
2024-08-31,2024Q3,0.27
