DATE,TIME PERIOD,pi_e
1999-12-31,1999Q4,1.15
2000-03-31,2000Q1,1.46
2000-06-30,2000Q2,1.49
2000-09-30,2000Q3,1.52
2000-12-31,2000Q4,1.64
2001-03-31,2001Q1,1.71
2001-06-30,2001Q2,1.81
2001-09-30,2001Q3,1.82
2001-12-31,2001Q4,1.67
2002-03-31,2002Q1,1.78
2002-06-30,2002Q2,1.80
2002-09-30,2002Q3,1.63
2002-12-31,2002Q4,1.74
2003-03-31,2003Q1,1.89
2003-06-30,2003Q2,1.78
2003-09-30,2003Q3,1.81
2003-12-31,2003Q4,1.76
2004-03-31,2004Q1,1.57
2004-06-30,2004Q2,1.50
2004-09-30,2004Q3,1.64
2004-12-31,2004Q4,1.69
2005-03-31,2005Q1,1.70
2005-06-30,2005Q2,1.78
2005-09-30,2005Q3,1.85
2005-12-31,2005Q4,1.72
2006-03-31,2006Q1,1.77
2006-06-30,2006Q2,1.74
2006-09-30,2006Q3,1.79
2006-12-31,2006Q4,1.89
2007-03-31,2007Q1,2.13
2007-06-30,2007Q2,2.07
2007-09-30,2007Q3,2.06
2007-12-31,2007Q4,2.04
2008-03-31,2008Q1,1.97
2008-06-30,2008Q2,1.96
2008-09-30,2008Q3,1.98
2008-12-31,2008Q4,1.99
2009-03-31,2009Q1,2.13
2009-06-30,2009Q2,2.40
2009-09-30,2009Q3,1.95
2009-12-31,2009Q4,1.44
2010-03-31,2010Q1,1.17
2010-06-30,2010Q2,1.21
2010-09-30,2010Q3,1.29
2010-12-31,2010Q4,1.38
2011-03-31,2011Q1,1.43
2011-06-30,2011Q2,1.48
2011-09-30,2011Q3,1.55
2011-12-31,2011Q4,1.79
2012-03-31,2012Q1,1.94
2012-06-30,2012Q2,1.95
2012-09-30,2012Q3,1.63
2012-12-31,2012Q4,1.66
2013-03-31,2013Q1,1.80
2013-06-30,2013Q2,1.76
2013-09-30,2013Q3,1.86
2013-12-31,2013Q4,1.72
2014-03-31,2014Q1,1.56
2014-06-30,2014Q2,1.53
2014-09-30,2014Q3,1.48
2014-12-31,2014Q4,1.35
2015-03-31,2015Q1,1.24
2015-06-30,2015Q2,1.18
2015-09-30,2015Q3,1.07
2015-12-31,2015Q4,0.76
2016-03-31,2016Q1,0.98
2016-06-30,2016Q2,1.21
2016-09-30,2016Q3,1.10
2016-12-31,2016Q4,1.15
2017-03-31,2017Q1,1.10
2017-06-30,2017Q2,1.14
2017-09-30,2017Q3,1.21
2017-12-31,2017Q4,1.38
2018-03-31,2018Q1,1.48
2018-06-30,2018Q2,1.45
2018-09-30,2018Q3,1.48
2018-12-31,2018Q4,1.56
2019-03-31,2019Q1,1.56
2019-06-30,2019Q2,1.62
2019-09-30,2019Q3,1.67
2019-12-31,2019Q4,1.58
2020-03-31,2020Q1,1.55
2020-06-30,2020Q2,1.33
2020-09-30,2020Q3,1.24
2020-12-31,2020Q4,1.28
2021-03-31,2021Q1,1.01
2021-06-30,2021Q2,1.05
2021-09-30,2021Q3,1.10
2021-12-31,2021Q4,1.30
2022-03-31,2022Q1,1.32
2022-06-30,2022Q2,1.43
2022-09-30,2022Q3,1.65
2022-12-31,2022Q4,1.81
2023-03-31,2023Q1,2.81
2023-06-30,2023Q2,3.56
2023-09-30,2023Q3,4.76
2023-12-31,2023Q4,3.62
2024-03-31,2024Q1,2.81
2024-06-30,2024Q2,2.79
2024-09-30,2024Q3,2.48
2024-12-31,2024Q4,2.27
2025-03-31,2025Q1,2.07
2025-06-30,2025Q2,2.07
2025-09-30,2025Q3,1.95
2025-12-31,2025Q4,1.98
2026-03-31,2026Q1,1.98
2026-06-30,2026Q2,1.82
