DATE,TIME PERIOD,pi
1996-12-31,1996,1.8
1997-12-31,1997,1.2
1998-12-31,1998,0.8
1999-12-31,1999,0.5
2000-12-31,2000,2.0
2001-12-31,2001,2.3
2002-12-31,2002,1.7
2003-12-31,2003,1.3
2004-12-31,2004,2.0
2005-12-31,2005,2.1
2006-12-31,2006,1.7
2007-12-31,2007,2.2
2008-12-31,2008,3.2
2009-12-31,2009,0.4
2010-12-31,2010,1.7
2011-12-31,2011,3.5
2012-12-31,2012,2.6
2013-12-31,2013,2.1
2014-12-31,2014,1.5
2015-12-31,2015,0.8
2016-12-31,2016,1.0
2017-12-31,2017,2.2
2018-12-31,2018,2.1
2019-12-31,2019,1.5
2020-12-31,2020,1.4
2021-12-31,2021,2.8
2022-12-31,2022,8.6
2023-12-31,2023,7.8
2024-12-31,2024,2.9
2025-09-30,2025,3.5
