DATE,TIME PERIOD,unemp
1995-03-31,1995Q1,3.964433
1995-06-30,1995Q2,4.139380
1995-09-30,1995Q3,4.361865
1995-12-31,1995Q4,4.569075
1996-03-31,1996Q1,4.779753
1996-06-30,1996Q2,4.782784
1996-09-30,1996Q3,4.712648
1996-12-31,1996Q4,4.624046
1997-03-31,1997Q1,4.652782
1997-06-30,1997Q2,4.679452
1997-09-30,1997Q3,4.801292
1997-12-31,1997Q4,4.865790
1998-03-31,1998Q1,4.942720
1998-06-30,1998Q2,4.828504
1998-09-30,1998Q3,4.661163
1998-12-31,1998Q4,4.424177
1999-03-31,1999Q1,4.230828
1999-06-30,1999Q2,4.209258
1999-09-30,1999Q3,4.012930
1999-12-31,1999Q4,4.097644
2000-03-31,2000Q1,4.226753
2000-06-30,2000Q2,3.713808
2000-09-30,2000Q3,3.819619
2000-12-31,2000Q4,3.791816
2001-03-31,2001Q1,3.669424
2001-06-30,2001Q2,4.015340
2001-09-30,2001Q3,4.073090
2001-12-31,2001Q4,4.284580
2002-03-31,2002Q1,4.489867
2002-06-30,2002Q2,4.222800
2002-09-30,2002Q3,4.393465
2002-12-31,2002Q4,4.448447
2003-03-31,2003Q1,4.504485
2003-06-30,2003Q2,4.804953
2003-09-30,2003Q3,4.800408
2003-12-31,2003Q4,5.020869
2004-03-31,2004Q1,6.003763
2004-06-30,2004Q2,5.791933
2004-09-30,2004Q3,5.772054
2004-12-31,2004Q4,5.948761
2005-03-31,2005Q1,5.797829
2005-06-30,2005Q2,6.139345
2005-09-30,2005Q3,6.046992
2005-12-31,2005Q4,6.139001
2006-03-31,2006Q1,6.075484
2006-06-30,2006Q2,5.693602
2006-09-30,2006Q3,5.295458
2006-12-31,2006Q4,5.321402
2007-03-31,2007Q1,5.239782
2007-06-30,2007Q2,5.459024
2007-09-30,2007Q3,5.266786
2007-12-31,2007Q4,4.825141
2008-03-31,2008Q1,4.565909
2008-06-30,2008Q2,4.092118
2008-09-30,2008Q3,4.321339
2008-12-31,2008Q4,4.726215
2009-03-31,2009Q1,5.120591
2009-06-30,2009Q2,5.732459
2009-09-30,2009Q3,6.126513
2009-12-31,2009Q4,5.781356
2010-03-31,2010Q1,5.413601
2010-06-30,2010Q2,5.373380
2010-09-30,2010Q3,5.138721
2010-12-31,2010Q4,4.874514
2011-03-31,2011Q1,5.152609
2011-06-30,2011Q2,4.797403
2011-09-30,2011Q3,4.334439
2011-12-31,2011Q4,5.223970
2012-03-31,2012Q1,4.879433
2012-06-30,2012Q2,5.209333
2012-09-30,2012Q3,5.487112
2012-12-31,2012Q4,5.375421
2013-03-31,2013Q1,5.850298
2013-06-30,2013Q2,5.453008
2013-09-30,2013Q3,5.728041
2013-12-31,2013Q4,5.886203
2014-03-31,2014Q1,6.133921
2014-06-30,2014Q2,5.863548
2014-09-30,2014Q3,6.069893
2014-12-31,2014Q4,6.126837
2015-03-31,2015Q1,5.997150
2015-06-30,2015Q2,6.271655
2015-09-30,2015Q3,6.057176
2015-12-31,2015Q4,6.304615
2016-03-31,2016Q1,6.445813
2016-06-30,2016Q2,6.601384
2016-09-30,2016Q3,6.615790
2016-12-31,2016Q4,6.175210
2017-03-31,2017Q1,6.145036
2017-06-30,2017Q2,5.859180
2017-09-30,2017Q3,5.887403
2017-12-31,2017Q4,5.824423
2018-03-31,2018Q1,5.433884
2018-06-30,2018Q2,4.993818
2018-09-30,2018Q3,5.331063
2018-12-31,2018Q4,5.108343
2019-03-31,2019Q1,5.038947
2019-06-30,2019Q2,4.839903
2019-09-30,2019Q3,4.776066
2019-12-31,2019Q4,4.569158
2020-03-31,2020Q1,4.683439
2020-06-30,2020Q2,6.993096
2020-09-30,2020Q3,6.432466
2020-12-31,2020Q4,6.278648
2021-03-31,2021Q1,7.127008
2021-06-30,2021Q2,6.739849
2021-09-30,2021Q3,5.577725
2021-12-31,2021Q4,5.234003
2022-03-31,2022Q1,4.646512
2022-06-30,2022Q2,4.460059
2022-09-30,2022Q3,4.886757
2022-12-31,2022Q4,4.948287
2023-03-31,2023Q1,4.940505
2023-06-30,2023Q2,4.994400
2023-09-30,2023Q3,5.408938
2023-12-31,2023Q4,5.163832
2024-03-31,2024Q1,4.882457
2024-06-30,2024Q2,5.114356
2024-09-30,2024Q3,5.344746
2024-12-31,2024Q4,5.372309
2025-03-31,2025Q1,5.440484
2025-06-30,2025Q2,5.677871
2025-08-31,2025Q3,5.658897
