DATE,TIME PERIOD,energy
1997-03-31,1997Q1,4.5
1997-06-30,1997Q2,2.2
1997-09-30,1997Q3,3.2
1997-12-31,1997Q4,1.2
1998-03-31,1998Q1,-1.4
1998-06-30,1998Q2,-1.4
1998-09-30,1998Q3,-3.2
1998-12-31,1998Q4,-4.5
1999-03-31,1999Q1,-3.8
1999-06-30,1999Q2,0.8
1999-09-30,1999Q3,4.9
1999-12-31,1999Q4,8.0
2000-03-31,2000Q1,13.6
2000-06-30,2000Q2,12.1
2000-09-30,2000Q3,13.3
2000-12-31,2000Q4,13.2
2001-03-31,2001Q1,6.5
2001-06-30,2001Q2,6.7
2001-09-30,2001Q3,0.7
2001-12-31,2001Q4,-4.3
2002-03-31,2002Q1,-2.1
2002-06-30,2002Q2,-2.3
2002-09-30,2002Q3,-0.7
2002-12-31,2002Q4,2.9
2003-03-31,2003Q1,7.0
2003-06-30,2003Q2,1.4
2003-09-30,2003Q3,2.1
2003-12-31,2003Q4,1.6
2004-03-31,2004Q1,-1.5
2004-06-30,2004Q2,4.9
2004-09-30,2004Q3,6.3
2004-12-31,2004Q4,8.4
2005-03-31,2005Q1,7.6
2005-06-30,2005Q2,8.8
2005-09-30,2005Q3,12.7
2005-12-31,2005Q4,11.1
2006-03-31,2006Q1,12.2
2006-06-30,2006Q2,11.7
2006-09-30,2006Q3,6.4
2006-12-31,2006Q4,1.5
2007-03-31,2007Q1,1.2
2007-06-30,2007Q2,0.5
2007-09-30,2007Q3,0.7
2007-12-31,2007Q4,8.1
2008-03-31,2008Q1,10.7
2008-06-30,2008Q2,13.5
2008-09-30,2008Q3,15.1
2008-12-31,2008Q4,2.2
2009-03-31,2009Q1,-6.1
2009-06-30,2009Q2,-10.7
2009-09-30,2009Q3,-11.9
2009-12-31,2009Q4,-3.0
2010-03-31,2010Q1,4.8
2010-06-30,2010Q2,8.2
2010-09-30,2010Q3,7.3
2010-12-31,2010Q4,9.1
2011-03-31,2011Q1,12.7
2011-06-30,2011Q2,11.5
2011-09-30,2011Q3,12.0
2011-12-31,2011Q4,11.5
2012-03-31,2012Q1,9.1
2012-06-30,2012Q2,7.2
2012-09-30,2012Q3,8.0
2012-12-31,2012Q4,6.3
2013-03-31,2013Q1,3.2
2013-06-30,2013Q2,0.3
2013-09-30,2013Q3,0.1
2013-12-31,2013Q4,-0.9
2014-03-31,2014Q1,-1.9
2014-06-30,2014Q2,-0.4
2014-09-30,2014Q3,-1.8
2014-12-31,2014Q4,-3.6
2015-03-31,2015Q1,-7.7
2015-06-30,2015Q2,-5.2
2015-09-30,2015Q3,-7.2
2015-12-31,2015Q4,-7.2
2016-03-31,2016Q1,-7.4
2016-06-30,2016Q2,-7.7
2016-09-30,2016Q3,-5.1
2016-12-31,2016Q4,0.2
2017-03-31,2017Q1,8.3
2017-06-30,2017Q2,4.7
2017-09-30,2017Q3,3.4
2017-12-31,2017Q4,3.5
2018-03-31,2018Q1,2.2
2018-06-30,2018Q2,5.6
2018-09-30,2018Q3,9.5
2018-12-31,2018Q4,8.5
2019-03-31,2019Q1,3.9
2019-06-30,2019Q2,3.6
2019-09-30,2019Q3,-0.6
2019-12-31,2019Q4,-2.0
2020-03-31,2020Q1,-1.0
2020-06-30,2020Q2,-10.3
2020-09-30,2020Q3,-8.1
2020-12-31,2020Q4,-7.8
2021-03-31,2021Q1,-0.5
2021-06-30,2021Q2,12.0
2021-09-30,2021Q3,15.8
2021-12-31,2021Q4,25.7
2022-03-31,2022Q1,35.0
2022-06-30,2022Q2,39.5
2022-09-30,2022Q3,39.6
2022-12-31,2022Q4,34.0
2023-03-31,2023Q1,10.6
2023-06-30,2023Q2,-1.7
2023-09-30,2023Q3,-4.7
2023-12-31,2023Q4,-9.8
2024-03-31,2024Q1,-3.9
2024-06-30,2024Q2,0.0
2024-09-30,2024Q3,-2.6
2024-12-31,2024Q4,-2.2
2025-03-31,2025Q1,0.4
2025-06-30,2025Q2,-3.3
2025-09-30,2025Q3,-1.6
