DATE,TIME PERIOD,pi
1996-12-31,1996,0.7
1997-12-31,1997,1.5
1998-12-31,1998,0.6
1999-12-31,1999,0.6
2000-12-31,2000,1.4
2001-12-31,2001,1.9
2002-12-31,2002,1.3
2003-12-31,2003,1.1
2004-12-31,2004,1.8
2005-12-31,2005,1.9
2006-12-31,2006,1.8
2007-12-31,2007,2.3
2008-12-31,2008,2.8
2009-12-31,2009,0.3
2010-12-31,2010,1.1
2011-12-31,2011,2.5
2012-12-31,2012,2.2
2013-12-31,2013,1.6
2014-12-31,2014,0.8
2015-12-31,2015,0.7
2016-12-31,2016,0.4
2017-12-31,2017,1.7
2018-12-31,2018,1.9
2019-12-31,2019,1.4
2020-12-31,2020,0.4
2021-12-31,2021,3.2
2022-12-31,2022,8.6
2023-12-31,2023,6.1
2024-12-31,2024,2.5
2025-09-30,2025,2.3
